,Unnamed: 0,기준일자,기업명,종목코드,이연법인세부채,분기코드,비유동부채,비지배지분,유형자산의 처분,유동자산,무형자산의 취득,기타포괄손익,유동부채,자본금,유형자산의 취득,현금및현금성자산,재고자산,매출원가,자산총계,비유동자산,무형자산,이자의 지급,유형자산,이자의 수취,매출총이익,부채총계,금융수익,사업년도,분기명,주가코드,분기종가,발행주식수,PSR,GP/A
60,60,20221114,셀트리온,00413046,26164996673.0,11014,431608895980,277973305,1130000.0,2757305042007,-135278719923,-745020455,963235887155,140791866000,-87541760412,543586851440,564471842049.0,215582294831,5499440966395,2742135924388,1244786492252,-10546665798.0,755095090479,8462384642,237117262448,1394844783135,6789672166,2022,3분기,068270,178206,1350110034038,531.4732582729141,4.311661201510003
61,61,20230320,셀트리온,00413046,,11011,296194697401,4811149867,2040000.0,2580534103661,-197838456608,191451187,1105339629955,140805210000,-107155737359,501359476759,544603169670.0,1052058067945,5571483129934,2990949026273,1318556078705,-16224945721.0,775993732622,11771407782,885411229528,1401534327356,24067143477,2022,4분기,068270,157900,1350110034038,110.03135618853389,15.891840805744101
62,62,20230512,셀트리온,00413046,815807855.0,11013,293110326086,1923284175,1860000.0,2726226774921,-32009373794,1207227775,1334612127077,146331198000,-41778142586,453817118087,429597953833.0,296116930273,5800620905047,3074394130126,1364407327680,-6863296137.0,808335026336,3597033900,239463479522,1627722453163,7055910978,2023,1분기,068270,166600,1350110034038,419.9711706349097,4.12823874274645
63,63,20180515,POSCO홀딩스,00155319,1281531203654.0,11013,4318913746396,90570531904,-1876414242.0,16292071194811,11424963039,-41364011894,4238393922897,482403125000,372762151247,412279465569,4529807288664.0,6290057611162,54934594731229,38642523536418,552399779157,13918356749.0,21417745684463,29977189856,1470832416943,8557307669293,-173559293067,2018,1분기,005490,370500,1746110000741,83.35819125535326,2.677424715953838
64,64,20180911,POSCO홀딩스,00155319,1241375723628.0,11012,3916091110711,46736788594,9722383133.0,15652085722176,22505374653,-18905593615,4082046440984,482403125000,759075436967,224843418363,4463424844031.0,6430635291453,54007996043783,38355910321607,523543542361,69487280724.0,21234346367707,70101510154,1274209854970,7998137551695,-336029421407,2018,2분기,005490,292000,1746110000741,66.17447989244509,2.3592985267163558
65,65,20181114,POSCO홀딩스,00155319,1226822861024.0,11014,4991692455730,27202322484,12563447830.0,17881691569443,42070064827,32180890628,4324356555301,482403125000,1095951273909,979302360050,4534183030023.0,6353479816049,56127620542359,38245928972916,527963100736,84953953309.0,21044269208333,106661678138,1552028268695,9316049011031,-349195727847,2018,3분기,005490,249000,1746110000741,54.997273486260475,2.765177382717834
66,66,20190401,POSCO홀딩스,00155319,1179671644521.0,11011,4957905021987,192040415501,4551389365.0,16796400047219,58807683670,-237702536160,3895972889381,482403125000,1677961869614,259219202425,5288008733361.0,25728293176018,54125979686154,37329579638935,645222018546,148129201618.0,20154333945364,154529450860,4931132257497,8853877911368,-443951555523,2018,4분기,005490,266500,1746110000741,15.177659353289682,9.110472061826599
67,67,20190515,POSCO홀딩스,00155319,1163836971244.0,11013,5047008023671,20828768560,4436231721.0,17603455407023,63551645186,-12994715018,4164307178881,482403125000,342130600062,419647727341,4997912504603.0,6727506687412,55211816256681,37608360849658,660559525724,26082460822.0,19952653036327,33003563297,1088964295366,9211315202552,-258770633463,2019,1분기,005490,240000,1746110000741,53.61324837016185,1.9723392005497158
68,68,20190814,POSCO홀딩스,00155319,1206869975139.0,11012,5138815862554,73628706565,0.0,17599358118224,79223416599,36703480967,3105705013576,482403125000,703191832369,556441450682,5384737630988.0,6484076647311,54637578175447,37038220057223,665898315848,81228073605.0,19321085480933,74330179494,991777331804,8244520876130,-456317287608,2019,2분기,005490,206000,1746110000741,48.11472524176128,1.8151927023911982
69,69,20191114,POSCO홀딩스,00155319,1160489166108.0,11014,6266838232201,77128923465,,17716458788079,120666288490,-69948178311,2825160798240,482403125000,1128328793583,1048877409838,5285575103930.0,6812556910824,55427981733098,37711522945019,679708140201,105867608710.0,19944285458208,117262790850,923338031973,9091999030441,-623502346003,2019,3분기,005490,220000,1746110000741,49.657370349981555,1.6658337595966306
70,70,20200320,POSCO홀딩스,00155319,1190553024206.0,11011,6765134918740,131374361658,,18216066010030,132660961689,-65599558850,3331446367137,482403125000,1903965903409,978138798756,4988529839417.0,26700873690120,55710766417120,37494700407090,708914719964,160949702386.0,20132198550174,147682738270,3672637048395,10096581285877,-598302642776,2019,4분기,005490,144500,1746110000741,8.307004655445715,6.592329067773142
71,71,20200515,POSCO홀딩스,00155319,1088318248227.0,11013,8707336045732,32287819506,,20774351810895,50011318313,-194508301749,4179100856034,482403125000,672114012757,2341514001438,4767695751270.0,6230403636658,58436377783932,37662025973037,717739614953,37792590157.0,20181710082293,28266654644,739452399840,12886436901766,-526932371282,2020,1분기,005490,168000,1746110000741,42.087882244391345,1.2653973909439062
72,72,20200813,POSCO홀딩스,00155319,1003013444197.0,11012,7479748906924,72875550537,-49933905011.0,20016741294623,68813410397,33465216703,4737598075389,482403125000,1322802187529,2446945191531,4215793500041.0,5742815978922,57620108949580,37603367654957,667490947922,106973802430.0,20187096847697,83513337319,142007652082,12217346982313,-551379606873,2020,2분기,005490,206000,1746110000741,61.12309946853554,0.24645502181584317
