,Name,Date,Open,High,Low,Close,Volume,Change,Code,MA_5,fast_%K,slow_%K,slow_%D,RSI,STD,Upper,Lower,Score,label,Predict,Prob_1,fast_10,pos_score,pos_title,neg_score,neg_title,MA_10
1768,현대차,2019-12-16,120500,121000,119000,119000,1015046,-0.0165289256198346,5380,119800.0,0.0,41.1208791208791,36.15824175824174,39.39393939393939,2295.73403007406,124391.46806014812,115208.53193985188,1.0,1,0,0.28105482,23.07692307692308,0.958,현대차 그랩 아이오닉EV 인도네시아 차량 호출 서비스 시작,,,119850.0
1769,현대차,2019-12-17,119500,123000,119000,122000,1904603,0.0252100840336133,5380,120200.0,75.0,48.42857142857141,40.0197802197802,45.94594594594594,2161.109607780242,124522.21921556049,115877.78078443951,0.8333,1,1,0.76353264,69.23076923076923,0.719, 강세 중동서 홀로 질주한 현대차 쏘나타 판매 성능평가상승,0.806, 기자수첩 현대 기아차 한국지엠 비정규직 대하는 상반된 태도,119900.0
1770,현대차,2019-12-18,122000,123500,120500,123000,1135407,0.0081967213114753,5380,121000.0,88.88888888888889,60.20634920634918,47.19072039072037,47.368421052631575,2076.8143621264767,125153.62872425297,116846.37127574703,0.7333,0,1,0.6703877,91.66666666666666,0.875,현대 기아차 2년 연속 유럽서 판매 100만대 돌파 앞둬,0.75,현대차 현대홈쇼핑 내년 실적 모멘텀 둔화 불가피 목표가하락 ,120000.0
1771,현대차,2019-12-19,122500,123500,122000,123500,905299,0.0040650406504065,5380,121700.0,100.0,64.20634920634919,52.24737484737484,57.57575757575758,2010.4987597996308,125720.99751959926,117679.00248040074,0.7,0,1,0.64493203,100.0,0.857,현대차 스웨덴 기업과 손잡는다 수소연료전지 기술 공동 개발 ,0.586,큰형님 현대차만 나홀로 선방 외국계3 툭하면 파업에 부진,120550.0
1772,현대차,2019-12-20,124000,124000,122500,124000,1001899,0.0040485829959513,5380,122300.0,100.0,72.77777777777774,57.34798534798533,57.57575757575758,2040.865399516913,126381.73079903384,118218.26920096616,0.9091,0,1,0.6639617,100.0,0.812, 베뉴 셀토스 인도서 잘나가네 현대차 2년 연속 올해의 차 선정,0.429,현대차 도약하려면 전기차 시대 대비 벤츠도 대규모 감원 고비용 저생산 탈출에 생존 달렸다,121100.0
1773,현대차,2019-12-23,124000,125000,122000,122500,1462906,-0.0120967741935483,5380,123000.0,58.333333333333336,84.44444444444443,66.01269841269838,52.77777777777778,1880.649383925965,126761.29876785191,119238.70123214809,1.0,0,1,0.51697975,58.333333333333336,0.917,현대기아차 첫 전용 전기차에 SK배터리 탑재,,,121400.0
1774,현대차,2019-12-24,123000,123000,121500,122000,600726,-0.0040816326530612,5380,123000.0,33.33333333333333,76.11111111111109,71.54920634920634,50.0,1867.1326172835893,126734.26523456718,119265.73476543282,0.4,0,0,0.33106798,50.0,0.923,현대차 전용 플랫폼 장착한 전기차 SK 배터리 낙점 LG CATL 2차물량 부터,0.778,현대차 울산공장 무선 인터넷 다시 제한,121600.0
1775,현대차,2019-12-26,122500,123000,121500,122500,552469,0.0040983606557376,5380,122900.0,28.57142857142857,64.04761904761902,72.31746031746029,65.51724137931035,1817.1333699562272,126534.26673991243,119265.73326008757,0.7857,0,0,0.30334306,58.333333333333336,0.875,현대차 내년 최대 8종 출격 풍년 ,0.714,울산 현대차 통근버스끼리 충돌 29명 부상,121950.0
1776,현대차,2019-12-27,121000,121000,120000,120500,422565,-0.0163265306122448,5380,122300.0,10.0,46.04761904761902,68.68571428571427,56.25,1700.619082321445,125701.23816464288,118898.76183535712,0.375,0,0,0.21337797,25.0,0.571,현대차 고성능 벨로스터 N 튜닝용 파츠 12종 출시,0.833, 정규직 판결 난 현대차 비정규직들이 실직 위기에 왜 ,122000.0
1777,현대차,2019-12-30,120500,121500,120000,120500,467794,0.0,5380,121600.0,10.0,28.047619047619023,59.73968253968253,53.33333333333333,1705.0621226521926,125010.12424530438,118189.87575469562,0.7692,0,0,0.26750502,25.0,0.833,현대 기아차 유럽 SUV 판매 50만대 눈앞 역대최고 비중,0.76, 숲 현대차 와이파이 사태 어떻게 생각하십니까 ,121950.0
1778,현대차,2020-01-02,121000,121000,118000,118000,556532,-0.020746887966805,5380,120700.0,0.0,16.38095238095236,46.12698412698411,44.11764705882352,1828.862171434247,124357.72434286847,117042.27565713153,0.9474,0,0,0.21685274,0.0,0.875,현대차 두바이에 쏘나타 하이브리드 택시 1232대 공급 계약,0.487,현대차 현대중 나란히 새 노조 출범 노사 관계 전망은 엇갈려,121850.0
