,기업명,종목코드,사업년도,분기명,유형자산의 처분,매출원가,유동자산,매출총이익,현금및현금성자산,유형자산,유동부채,비유동자산,재고자산,금융수익,비유동부채,이연법인세부채,이자의 지급,자본금,기타포괄손익,부채총계,비지배지분,자산총계,유형자산의 취득,무형자산의 취득,무형자산,이자의 수취,분기코드
62,셀트리온,413046,2023,1분기,1860000.0,296116930273,2726226774921,239463479522,453817118087,808335026336,1334612127077,3074394130126,429597953833.0,7055910978,293110326086,815807855.0,-6863296137.0,146331198000,1207227775,1627722453163,1923284175,5800620905047,-41778142586,-32009373794,1364407327680,3597033900,11013
63,포스코,155319,2018,1분기,-1876414242.0,6290057611162,16292071194811,1470832416943,412279465569,21417745684463,4238393922897,38642523536418,4529807288664.0,-173559293067,4318913746396,1281531203654.0,13918356749.0,482403125000,-41364011894,8557307669293,90570531904,54934594731229,372762151247,11424963039,552399779157,29977189856,11013
64,포스코,155319,2018,2분기,9722383133.0,6430635291453,15652085722176,1274209854970,224843418363,21234346367707,4082046440984,38355910321607,4463424844031.0,-336029421407,3916091110711,1241375723628.0,69487280724.0,482403125000,-18905593615,7998137551695,46736788594,54007996043783,759075436967,22505374653,523543542361,70101510154,11012
65,포스코,155319,2018,3분기,12563447830.0,6353479816049,17881691569443,1552028268695,979302360050,21044269208333,4324356555301,38245928972916,4534183030023.0,-349195727847,4991692455730,1226822861024.0,84953953309.0,482403125000,32180890628,9316049011031,27202322484,56127620542359,1095951273909,42070064827,527963100736,106661678138,11014
66,포스코,155319,2018,4분기,4551389365.0,25728293176018,16796400047219,4931132257497,259219202425,20154333945364,3895972889381,37329579638935,5288008733361.0,-443951555523,4957905021987,1179671644521.0,148129201618.0,482403125000,-237702536160,8853877911368,192040415501,54125979686154,1677961869614,58807683670,645222018546,154529450860,11011
67,포스코,155319,2019,1분기,4436231721.0,6727506687412,17603455407023,1088964295366,419647727341,19952653036327,4164307178881,37608360849658,4997912504603.0,-258770633463,5047008023671,1163836971244.0,26082460822.0,482403125000,-12994715018,9211315202552,20828768560,55211816256681,342130600062,63551645186,660559525724,33003563297,11013
68,포스코,155319,2019,2분기,0.0,6484076647311,17599358118224,991777331804,556441450682,19321085480933,3105705013576,37038220057223,5384737630988.0,-456317287608,5138815862554,1206869975139.0,81228073605.0,482403125000,36703480967,8244520876130,73628706565,54637578175447,703191832369,79223416599,665898315848,74330179494,11012
69,포스코,155319,2019,3분기,,6812556910824,17716458788079,923338031973,1048877409838,19944285458208,2825160798240,37711522945019,5285575103930.0,-623502346003,6266838232201,1160489166108.0,105867608710.0,482403125000,-69948178311,9091999030441,77128923465,55427981733098,1128328793583,120666288490,679708140201,117262790850,11014
70,포스코,155319,2019,4분기,,26700873690120,18216066010030,3672637048395,978138798756,20132198550174,3331446367137,37494700407090,4988529839417.0,-598302642776,6765134918740,1190553024206.0,160949702386.0,482403125000,-65599558850,10096581285877,131374361658,55710766417120,1903965903409,132660961689,708914719964,147682738270,11011
71,포스코,155319,2020,1분기,,6230403636658,20774351810895,739452399840,2341514001438,20181710082293,4179100856034,37662025973037,4767695751270.0,-526932371282,8707336045732,1088318248227.0,37792590157.0,482403125000,-194508301749,12886436901766,32287819506,58436377783932,672114012757,50011318313,717739614953,28266654644,11013
72,포스코,155319,2020,2분기,-49933905011.0,5742815978922,20016741294623,142007652082,2446945191531,20187096847697,4737598075389,37603367654957,4215793500041.0,-551379606873,7479748906924,1003013444197.0,106973802430.0,482403125000,33465216703,12217346982313,72875550537,57620108949580,1322802187529,68813410397,667490947922,83513337319,11012
73,포스코,155319,2020,3분기,-64430911347.0,6064350693634,20873341426052,513536027093,2986905929287,20085559850095,5646183881518,37452397644444,3852918522825.0,-573675913486,7310016434911,1021937192074.0,161098043688.0,482403125000,5959741109,12956200316429,48962318409,58325739070496,1817307024585,118999583618,667803696578,156619086296,11014
74,포스코,155319,2020,4분기,-102353755541.0,24323352080110,19579953330110,2186568366074,1822659511020,20216932016206,5089110669881,37215015171419,4093829396206.0,-779150335638,6591153732744,848316508827.0,230536965914.0,482403125000,-61783269016,11680264402625,155072093371,56794968501529,2450816085965,101427245510,621926266536,197306223923,11011
75,포스코,155319,2021,1분기,-16803850801.0,6466896335617,20397788524951,1333550234876,1828882715194,20078791653983,5753568365825,37867525561583,4758851478149.0,-471811248080,6831454100630,884405989711.0,51859473305.0,482403125000,75016177618,12585022466455,129340680525,58265314086534,370230464150,18804565960,590373046056,31087456712,11013
76,포스코,155319,2021,2분기,-31683769749.0,7412042388375,21057743395812,1865310892744,1681125879120,19930520304193,5347755646162,37942906522967,5324505558326.0,-682276712573,6850031810265,902703516477.0,100349928445.0,482403125000,33581653799,12197787456427,133390677713,59000649918779,753743320997,23448209614,563500617592,66342747455,11012
77,포스코,155319,2021,3분기,-45611869967.0,8712577623117,24842655660060,2602146009355,2423235053053,19774323641806,6270412022556,38510944972349,6528000781715.0,-1133962906386,8764362173631,848960313901.0,151397806816.0,482403125000,-19283080578,15034774196187,230095933020,63353600632409,1198495931927,34435584716,549698611904,99668668182,11014
78,포스코,155319,2021,4분기,-59806284373.0,32136438491188,25918879999015,7783762345436,2042273512181,19772298550978,7868269046806,38323878956874,7623202043450.0,-1276011130544,7339064914051,747652538063.0,-716639599180.0,482403125000,115536077192,15207333960857,628917523612,64242758955889,1968288884784,49477724415,551410426109,144368849328,11011
79,포스코,155319,2022,1분기,-14485002642.0,6465259462743,5875723628951,2928765425577,532410194795,143758772501,1740014138694,47458142280986,,-125555822774,4467709468629,3009177081728.0,50424126884.0,482403125000,14451991543,6207723607323,214947479400,53333865909937,355821595282,8668278674,13676722585,38674284562,11013
80,포스코,155319,2022,2분기,-14485002642.0,-190076440,4060603659405,2733139872051,251505029994,143189169662,345619300214,47422658774188,,-258483606915,4318126500164,2947065492192.0,50424126884.0,482403125000,-180818983408,4663745800378,254454407727,51483262433593,355821595282,8668278674,13513844769,62434274729,11012
81,포스코,155319,2022,3분기,-14485002642.0,-950323950,3457736374418,1607959638506,452734593196,142646703013,125078244418,47402753865253,,-359096307742,4201026696794,2785763487427.0,50424126884.0,482403125000,-13412420521,4326104941212,213864027182,50860490239671,356941976458,9519018576,14401244987,87251112870,11014
82,포스코,155319,2022,4분기,-14447214917.0,6463245690193,4308290115146,7649292423855,1415201182566,145005572040,118993021955,46840829094141,,-346941713822,3858263509655,2480379296280.0,50424126884.0,482403125000,-112325245211,3977256531610,413709215105,51149119209287,359532593243,10194840491,15901608719,44614715351,11011
83,포스코,155319,2023,1분기,,-1414087500,4666743175229,1373435600518,1306944978428,139554789507,228123536969,47262011404127,15028038621129.0,-158017590224,4003858338544,2479965237979.0,,482403125000,122004644182,4231981875513,162765430814,51928754579356,5361715720,753468732,16173368781,12615242265,11013
